PARAM,AVG_TIME,RUN,FAILED,NB instances
20,2012,1,1,20
20,14185,2,1,17
20,4488,3,4,18
40,12093,1,6,8
40,2851,2,2,18
40,4092,3,3,17
60,15373,1,5,8
60,5065,2,2,19
60,9004,3,6,17
