PARAM,AVG_TIME,RUN,FAILED,NB instances
1,64,1,0,1
1,72,2,0,1
1,55,3,0,1
10,50,1,0,1
10,66,2,0,1
10,63,3,0,1
20,142,1,0,2
20,87,2,0,2
20,71,3,2,2
50,112,1,0,3
50,97,2,1,3
50,96,3,1,3
100,173,1,1,4
100,106,2,0,4
100,115,3,0,4
1000,971,1,0,12
1000,449,2,0,14
1000,426,3,0,14
